Title,District,Address,Beds,Baths,House size,Land size,Price
House for Rent in Padiyathalawa,Ampara,Padiyathalawa Town,3,1,"1,800.0 sqft",11.0 perches,"Rs 26,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",2,1,850.0 sqft,11.0 perches,"Rs 24,000"
House Rent Colombo,Colombo,Rathmalana,1,1,"1,500.0 sqft",8.0 perches,"Rs 26,000"
House for Rent in Matale,Matale,"Matale City, Matale",4,2,"2,400.0 sqft",25.0 perches,"Rs 42,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,1,850.0 sqft,13.0 perches,"Rs 25,000"
Annex for Rent - Hambantota,Hambantota,"Weerakatiya, Hambantota",3,2,"2,300.0 sqft",25.0 perches,"Rs 37,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,1,600.0 sqft,8.0 perches,"Rs 17,000"
House for Rent in Galle,Galle,"Galle City, Galle",3,1,"2,000.0 sqft",20.0 perches,"Rs 35,000"
Eheliyagoda Town Upstair House For Rent,Ratnapura,Eheliyagoda Town,2,1,"1,300.0 sqft",15.0 perches,"Rs 20,000"
House for Rent,Hambantota,"Tangalle, Hambantota",3,1,"2,400.0 sqft",24.0 perches,"Rs 33,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",3,1,"2,200.0 sqft",24.0 perches,"Rs 32,000"
House for Rent in Gampaha,Gampaha,"Pahalagama road, Gampaha",2,1,700.0 sqft,7.0 perches,"Rs 23,000"
House for Rent  Kegalle,Kegalle,Molagoda-Kegalle,2,1,900.0 sqft,15.0 perches,"Rs 18,500."
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",3,2,"2,300.0 sqft",24.0 perches,"Rs 36,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",3,1,"2,400.0 sqft",25.0 perches,"Rs 34,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",2,1,"1,200.0 sqft",12.0 perches,"Rs 23,000"
House Rent Colombo,Colombo,Mount lavinia,3,1,"1,400.0 sqft",10.0 perches,"Rs 45,000 "
House for Rent in Badulla,Badulla,"Badulla City, Badulla",3,1,"2,200.0 sqft",22.0 perches,"Rs 36,000"
House Rent for MC road Matale,Matale,MC road Matale,4,1,"2,300.0 sqft",25.0 perches,"Rs 39,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",5,2,"2,700.0 sqft",30.0 perches,"Rs 45,000"
House for Rent Kandy,Kandy,Victoria hill maligatenna,3,2,"2,200.0 sqft",24.0 perches,"Rs 36,000"
House Rent Colombo,Colombo,Pannpitiya,2,1,"1,770.0 sqft",6.5 perches,"Rs 35,000"
House for Rent in Kurunegala,Kurunegala,"Dambokka, Boyagane.",2,1,900.0 sqft,30.0 perches,"Rs 23,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",2,1,1000.0 sqft,10.0 perches,"Rs 20,000"
Fully Furnished Upstair House for Rent in Kalutara Panadura,Kalutara,"RajaSamaranayaka Mawatha,Panadura",2,1,800.0 sqft,5.0 perches,"Rs 20,000"
House for Rent in Kegalle,Kegalle,Kegalle,5,2,"2,500.0 sqft",15.5 perches,"Rs 50,000"
House for Rent in Trincomalee,Trincomalee,"Trincomalee City, Trincomalee",4,2,2500.0 sqft,24.0 perches,"Rs 41,000"
